"src","tgt"
"<en> You ruined my life.","<es> Arruinaste mi vida."
"<en> You shot Tom twice.","<es> Le disparaste dos veces a Tom."
"<en> You should be home.","<es> Deberías estar en casa."
"<en> You should go home.","<es> Deberías irte a casa."
"<en> You should know it.","<es> Deberíais de saberlo."
"<en> You should know it.","<es> Deberías saberlo."
"<en> You should sue Tom.","<es> Deberías demandar a Tom."
"<en> You sound relieved.","<es> Pareces aliviado."
"<en> You speak too much.","<es> Hablas demasiado."
"<en> You speak too much.","<es> Hablas de más."
"<en> You stole my heart.","<es> Me robaste el corazón."
"<en> You taught me that.","<es> Tú me enseñaste eso."
"<en> You taught me well.","<es> Me enseñaste bien."
"<en> You taught us that.","<es> Tú nos lo enseñaste."
"<en> You were in a coma.","<es> Estabas en coma."
"<en> You were in a coma.","<es> Estabais en coma."
"<en> You were in a coma.","<es> Estuviste en coma."
"<en> You were in a coma.","<es> Estuvisteis en coma."
"<en> You were my friend.","<es> Tú eras mi amigo."
"<en> You were my friend.","<es> Eras mi amiga."
"<en> You'll be fine now.","<es> Ahora estarás bien."
"<en> You'll feel better.","<es> Vas a sentirte mejor."
"<en> You'll feel better.","<es> Te sentirás mejor."
"<en> You'll get over it.","<es> Te recuperarás."
"<en> You'll get over it.","<es> Se te pasará."
"<en> You'll have to pay.","<es> Tendrás que pagar."
"<en> You'll regret that!","<es> ¡Lo lamentarás!"
"<en> You're a big fraud.","<es> Eres un gran fraude."
"<en> You're a funny gal.","<es> Eres una niña divertida."
"<en> You're a gentleman.","<es> Sos un caballero."
"<en> You're a good liar.","<es> Eres un buen mentiroso."
"<en> You're a nice girl.","<es> Eres una chica maja."
"<en> You're a nice girl.","<es> Eres una chica agradable."
"<en> You're a smart boy.","<es> Eres un chico inteligente."
"<en> You're a weird kid.","<es> Eres un niño raro."
"<en> You're all cowards.","<es> ¡Sois unos cobardes!"
"<en> You're all cowards.","<es> ¡Son unos cobardes!"
"<en> You're all invited.","<es> Todos ustedes están invitados."
"<en> You're all invited.","<es> Todas ustedes están invitadas."
"<en> You're all racists.","<es> Todos ustedes son racistas."
"<en> You're annoying me.","<es> Me estás fastidiando."
"<en> You're avoiding me.","<es> Me estás evitando."
"<en> You're charismatic.","<es> Sos carismático."
"<en> You're cooperating.","<es> Estás cooperando."
"<en> You're defenseless.","<es> Estás indefenso."
"<en> You're defenseless.","<es> Estás desamparada."
"<en> You're egotistical.","<es> Eres egoísta."
"<en> You're extroverted.","<es> Eres extrovertido."
"<en> You're ignoring me.","<es> Me estás ignorando."
"<en> You're incompetent.","<es> Eres incompetente."
"<en> You're incompetent.","<es> Tú eres incompetente."
"<en> You're intelligent.","<es> Eres inteligente."
"<en> You're intelligent.","<es> Sos inteligente."
"<en> You're intelligent.","<es> Son inteligentes."
"<en> You're interfering.","<es> Estás interfiriendo."
"<en> You're interfering.","<es> Tú estás interfiriendo."
"<en> You're interfering.","<es> Está interfiriendo."
"<en> You're interfering.","<es> Usted está interfiriendo."
"<en> You're interfering.","<es> Están interfiriendo."
"<en> You're interfering.","<es> Estáis interfiriendo."
"<en> You're interfering.","<es> Vosotros estáis interfiriendo."
"<en> You're interfering.","<es> Ustedes están interfiriendo."
"<en> You're just a girl.","<es> Eres solo una chica."
"<en> You're like family.","<es> Es como de la familia."
"<en> You're like family.","<es> Sois como de la familia."
"<en> You're like family.","<es> Eres como de la familia."
"<en> You're lying again.","<es> Estás mintiendo otra vez."
"<en> You're my favorite.","<es> Sos mi favorito."
"<en> You're my princess.","<es> Eres mi princesa."
"<en> You're not a loser.","<es> Tú no eres perdedor."
"<en> You're not my type.","<es> No eres mi tipo."
"<en> You're not perfect.","<es> No sos perfecto."
"<en> You're not special.","<es> Usted no es especial."
"<en> You're patronizing.","<es> Tú estás condescendiendo."
"<en> You're quite smart.","<es> Sos bastante inteligente."
"<en> You're quite smart.","<es> Eres bastante inteligente."
"<en> You're quite smart.","<es> Son bastante inteligentes."
"<en> You're quite smart.","<es> Sos bastante listo."
"<en> You're quite smart.","<es> Eres bastante listo."
"<en> You're quite smart.","<es> Son bastante listos."
"<en> You're quite smart.","<es> Eres bastante lista."
"<en> You're quite smart.","<es> Sos bastante lista."
"<en> You're so adorable.","<es> Eres tan adorable."
"<en> You're so immature.","<es> Sos muy inmaduro."
"<en> You're so negative.","<es> Eres muy negativo."
"<en> You're so negative.","<es> Qué negativo eres."
"<en> You're so stubborn.","<es> Sos muy terco."
"<en> You're so stuck up.","<es> Eres tan engreído."
"<en> You're so stuck up.","<es> Eres tan engreída."
"<en> You're so stuck up.","<es> Son tan engreídos."
"<en> You're so stuck up.","<es> Sois tan engreídos."
"<en> You're so stuck up.","<es> Son tan engreídas."
"<en> You're so stuck up.","<es> Sois tan engreídas."
"<en> You're so talented.","<es> ¡Tienes tanto talento!"
"<en> You're soaking wet.","<es> Estás empapada."
"<en> You're soaking wet.","<es> Estás empapado."
"<en> You're still wrong.","<es> Aún estás equivocado."
"<en> You're still wrong.","<es> Aún no tienes la razón."
"<en> You're still young.","<es> Todavía eres joven."
"<en> You're still young.","<es> Ustedes aún son jóvenes."
"<en> You're still young.","<es> Todavía son jóvenes."
"<en> You're turning red.","<es> Tú estás poniéndote rojo."
"<en> You're turning red.","<es> Tú te estás poniendo rojo."
"<en> You're very astute.","<es> Eres muy astuto."
"<en> You're very astute.","<es> Sos muy astuto."
"<en> You're very astute.","<es> Eres muy astuta."
"<en> You're very astute.","<es> Sos muy astuta."
"<en> You're very astute.","<es> Son astutos."
"<en> You're very clever.","<es> Eres muy listo."
"<en> You're very clever.","<es> Eres muy inteligente."
"<en> You're very clever.","<es> Sos muy inteligente."
"<en> You're very clever.","<es> Sos muy listo."
"<en> You're very clever.","<es> Son muy listos."
"<en> You're very clever.","<es> Son muy inteligentes."
"<en> You're very pretty.","<es> Eres muy guapa."
"<en> You're very pretty.","<es> Eres muy linda."
"<en> You've been warned.","<es> Has sido advertido."
"<en> You've got a fever.","<es> Tienes fiebre."
"<en> You've got a fever.","<es> Estás con temperatura."
"<en> You've got my keys.","<es> Has cogido mis llaves."
"<en> You've got nothing.","<es> No tienes nada."
"<en> You've got nothing.","<es> No tenés nada."
"<en> You've got to hide.","<es> Te tienes que esconder."
"<en> You've got to hide.","<es> Tú has conseguido esconderte."
"<en> You've let me down.","<es> Me decepcionas."
"<en> You've worked hard.","<es> Has trabajado duro."
"<en> You've worked hard.","<es> Has trabajado hasta la extenuación."
"<en> Your bath is ready.","<es> Su baño está listo."
"<en> Your car's on fire.","<es> Tu coche está en llamas."
"<en> Your purse is open.","<es> Tu cartera está abierta."
"<en> Your room is dirty.","<es> Tu habitación está sucia."
"<en> Your zipper's open.","<es> Tienes el cierre abierto."
"<en> ""Trust me,"" he said.","<es> Dijo: ""Confía en mí""."
"<en> A dog has four legs.","<es> Un perro tiene cuatro patas."
"<en> A lion is an animal.","<es> Un león es un animal."
"<en> A noise woke her up.","<es> Un ruido la despertó."
"<en> A nurse wears white.","<es> Una enfermera se viste de blanco."
"<en> A truck hit the dog.","<es> Un camión atropelló al perro."
"<en> A whale is a mammal.","<es> Las ballenas son mamíferos."
"<en> A whale is a mammal.","<es> La ballena es un mamífero."
"<en> Accidents do happen.","<es> Los accidentes ocurren."
"<en> All I have is books.","<es> Lo único que tengo son libros."
"<en> All Tom did was eat.","<es> No hizo Tom nada más que comer."
"<en> All is calm tonight.","<es> Todo está tranquilo esta noche."
"<en> All of us are happy.","<es> Todos nosotros somos felices."
"<en> All you do is party.","<es> Tú nomás andas de parranda."
"<en> Am I disturbing you?","<es> ¿Os estoy molestando?"
"<en> Am I disturbing you?","<es> ¿Les estoy molestando a ustedes?"
"<en> Am I disturbing you?","<es> ¿Te estoy molestando?"
"<en> Am I disturbing you?","<es> ¿Le molesto a usted?"
"<en> Am I disturbing you?","<es> ¿Le estoy molestando?"
"<en> Answer the question.","<es> Responde la pregunta."
"<en> Answer the question.","<es> Responda la pregunta."
"<en> Answer the question.","<es> Responde a la pregunta."
"<en> Anybody can do that.","<es> Eso lo puede hacer cualquiera."
"<en> Anybody can do that.","<es> Cualquiera logra hacer eso."
"<en> Anybody can do this.","<es> Cualquiera puede hacer esto."
"<en> Anybody can read it.","<es> Cualquiera puede leerlo."
"<en> Are seats available?","<es> ¿Hay asientos libres?"
"<en> Are there any risks?","<es> ¿Existe algún riesgo?"
"<en> Are they in the gym?","<es> ¿Están en el gimnasio?"
"<en> Are we almost there?","<es> ¿Ya casi llegamos?"
"<en> Are we being chased?","<es> ¿Nos están siguiendo?"
"<en> Are we going to eat?","<es> ¿Vamos a comer?"
"<en> Are we just friends?","<es> ¿Acaso somos solo amigos?"
"<en> Are we just friends?","<es> ¿Solo somos amigos?"
"<en> Are you a policeman?","<es> ¿Eres policía?"
"<en> Are you always busy?","<es> ¿Siempre estás ocupado?"
"<en> Are you comfortable?","<es> ¿Está usted cómodo?"
"<en> Are you comfortable?","<es> ¿Estás cómodo?"
"<en> Are you comfortable?","<es> ¿Está usted cómoda?"
"<en> Are you comfortable?","<es> ¿Estás cómoda?"
"<en> Are you coming down?","<es> ¿Vas a bajar?"
"<en> Are you embarrassed?","<es> ¿Tenés vergüenza?"
"<en> Are you embarrassed?","<es> ¿Tienes vergüenza?"
"<en> Are you enjoying it?","<es> ¿Te gusta?"
"<en> Are you from Boston?","<es> ¿Eres de Boston?"
"<en> Are you going along?","<es> ¿Vas a seguir?"
"<en> Are you going to go?","<es> ¿Vas a ir?"
"<en> Are you in any pain?","<es> ¿Te duele algo?"
"<en> Are you kids hungry?","<es> Chicos, ¿tienen hambre?"
"<en> Are you lying to me?","<es> ¿Me estás mintiendo?"
"<en> Are you lying to me?","<es> ¿Me están mintiendo?"
"<en> Are you lying to me?","<es> ¿Me está mintiendo?"
"<en> Are you on Facebook?","<es> ¿Tienes Facebook?"
"<en> Are you on Facebook?","<es> ¿Estás en Facebook?"
"<en> Are you on Facebook?","<es> ¿Estáis en Facebook?"
"<en> Are you on Facebook?","<es> ¿Está en Facebook?"
"<en> Are you on Facebook?","<es> ¿Están en Facebook?"
"<en> Are you people lost?","<es> ¿Ustedes están perdidas?"
"<en> Are you still awake?","<es> ¿Estás todavía despierto?"
"<en> Are you still there?","<es> ¿Sigues ahí?"
"<en> Are you still there?","<es> ¿Seguís ahí?"
"<en> Are you still there?","<es> ¿Todavía estás ahí?"
"<en> Are you still upset?","<es> ¿Sigues molesta?"
"<en> Are you the prophet?","<es> ¿Es usted el profeta?"
"<en> Are you two friends?","<es> ¿Ustedes son amigos?"
"<en> Are you watching it?","<es> ¿Lo estás viendo?"
"<en> Ask Tom how Mary is.","<es> Pregúntale a Tom cómo está Mary."
"<en> Ask Tom if he voted.","<es> Pregúntale a Tom si él votó."
"<en> At least we had fun.","<es> Por lo menos nos lo pasamos bien."
"<en> Athens is in Greece.","<es> Atenas está en Grecia."
"<en> Be polite, but firm.","<es> Sé educado, pero firme."
"<en> Believe in yourself.","<es> Cree en ti mismo."
"<en> Best of luck to you.","<es> Te deseo todo lo mejor."
"<en> Best of luck to you.","<es> Que tengas suerte."
"<en> Black is depressing.","<es> Lo negro entristece."
"<en> Boil those potatoes.","<es> Cueza usted esas papas."
"<en> Boston is beautiful.","<es> Boston es bonito."
"<en> Boston is overrated.","<es> Boston está sobrevalorado."
"<en> Breakfast is served.","<es> El desayuno está servido."
"<en> Breakfast is served.","<es> La comida está servida."
"<en> Bring me my clothes.","<es> Tráeme mi ropa."
"<en> Bring me my glasses.","<es> Tráeme mis gafas."
"<en> Bring me my glasses.","<es> Tráeme las gafas."
"<en> Bring me my glasses.","<es> Tráigame mis gafas."
"<en> Bunnies are so cute.","<es> Los conejos son burda de cuchis."
"<en> Bunnies are so cute.","<es> Qué cuchis son los conejos."
"<en> Bunnies are so cute.","<es> Qué cuchis los conejos, vale."
"<en> But I wasn't afraid.","<es> Pero yo no tenía miedo."
"<en> But I wasn't afraid.","<es> Pero no tenía miedo."
"<en> Can I ask something?","<es> ¿Te puedo preguntar algo?"
"<en> Can I bring someone?","<es> ¿Puedo llevar a alguien?"
"<en> Can I do this later?","<es> ¿Puedo hacerlo después?"
"<en> Can I do this later?","<es> ¿Puedo hacer eso más tarde?"
"<en> Can I drive, please?","<es> ¿Puedo manejar, por favor?"
"<en> Can I have a minute?","<es> ¿Podría tener un minuto?"
"<en> Can I have a minute?","<es> ¿Me dan un minuto?"
"<en> Can I have a minute?","<es> ¿Me das un minuto?"
"<en> Can I have one, too?","<es> ¿Puedo tener uno también?"
"<en> Can I open this box?","<es> ¿Puedo abrir esta caja?"
"<en> Can I pay on credit?","<es> ¿Puedo pagar a crédito?"
"<en> Can I say something?","<es> ¿Puedo decir algo?"
"<en> Can I see you again?","<es> ¿Puedo volver a verte?"
"<en> Can I see you later?","<es> ¿Puedo verte más tarde?"
"<en> Can I use the phone?","<es> ¿Puedo usar el teléfono?"
"<en> Can I use the phone?","<es> ¿Puedo usar el móvil?"
"<en> Can I use this bike?","<es> ¿Puedo usar esta bicicleta?"
"<en> Can he speak French?","<es> ¿Él habla francés?"
"<en> Can he speak French?","<es> ¿Él sabe hablar francés?"
"<en> Can we believe that?","<es> ¿Podemos creérnoslo?"
"<en> Can we count on you?","<es> ¿Podemos contar con vos?"
"<en> Can we just go home?","<es> ¿Podemos simplemente irnos a casa?"
"<en> Can we speak French?","<es> ¿Podemos hablar francés?"
"<en> Can we switch seats?","<es> ¿Cambiémonos de puesto?"
"<en> Can we switch seats?","<es> ¿Nos intercambiamos los asientos?"
"<en> Can we switch seats?","<es> ¿Podemos intercambiarnos los asientos?"
"<en> Can you answer that?","<es> ¿Puedes responder eso?"
"<en> Can you answer this?","<es> ¿Puedes responder a esto?"
"<en> Can you believe Tom?","<es> ¿Podés creerle a Tom?"
"<en> Can you cook a meal?","<es> ¿Puedes preparar una comida?"
"<en> Can you do it alone?","<es> ¿Puedes hacerlo tú solo?"
"<en> Can you do it alone?","<es> ¿Puedes hacerlo solo?"
"<en> Can you drive a car?","<es> ¿Sabes conducir?"
"<en> Can you drive a car?","<es> ¿Puedes conducir un auto?"
"<en> Can you drive a car?","<es> ¿Sabes manejar?"
"<en> Can you read French?","<es> ¿Sabes leer francés?"
"<en> Can you really swim?","<es> ¿De verdad sabes nadar?"
"<en> Can you verify that?","<es> ¿Podrías verificar eso?"
"<en> Can you verify that?","<es> ¿Puedes verificar eso?"
"<en> Can your wife drive?","<es> ¿Tu esposa sabe manejar?"
"<en> Can't we start over?","<es> ¿No podemos empezar de nuevo?"
"<en> Can't we start over?","<es> ¿No podemos empezar desde el principio?"
"<en> Can't you buy a car?","<es> ¿No puedes comprar un coche?"
"<en> Can't you go faster?","<es> ¿No puedes ir más rápido?"
"<en> Care to lend a hand?","<es> ¿Quieres darme una mano?"
"<en> Carry out my orders!","<es> ¡Cumpla usted mis órdenes!"
"<en> Cash or credit card?","<es> ¿En efectivo o con tarjeta de crédito?"
"<en> Catch me if you can.","<es> Atrápame si puedes."
"<en> Change your clothes.","<es> Cámbiate de ropa."
"<en> Checks are accepted.","<es> Aceptamos cheques."
"<en> Checks are accepted.","<es> Se aceptan cheques."
"<en> Chew your food well.","<es> Mastica bien tu comida."
"<en> Chivalry isn't dead.","<es> La caballerosidad no ha muerto."
"<en> Chivalry isn't dead.","<es> La caballerosidad sigue viva."
"<en> Chivalry isn't dead.","<es> La gentileza no ha muerto."
"<en> Christmas is coming.","<es> Pronto será Navidad."
"<en> Clear off the table.","<es> Despeja la mesa."
"<en> Climb onto the roof.","<es> Súbete al techo."
"<en> Come again any time.","<es> Vuelve cuando quieras."
"<en> Come again tomorrow.","<es> Vuelvan mañana."
"<en> Come at two o'clock.","<es> Vengan a las dos."
"<en> Come at two o'clock.","<es> Ven a las dos."
"<en> Come back to Boston.","<es> Vuelve a Boston."
"<en> Come here right now.","<es> Ven aquí ahora mismo."
"<en> Come meet everybody.","<es> Ven a conocerlos a todos."
"<en> Come over here, Tom.","<es> Acércate, Tom."
"<en> Come over here, Tom.","<es> Ven aquí cerca, Tom."
"<en> Consult your doctor.","<es> Consulta a tu doctor."
"<en> Consult your doctor.","<es> Consulte a su doctor."
"<en> Contact me tomorrow.","<es> Contáctame mañana."
"<en> Continue without me.","<es> Continúa sin mí."
"<en> Cops are everywhere.","<es> Los policías están por todas partes."
"<en> Could it be a virus?","<es> ¿Podría ser un virus?"
"<en> Could you elaborate?","<es> ¿Podría dar más detalles?"
"<en> Could you sign here?","<es> ¿Podría firmar aquí?"
"<en> Crime is increasing.","<es> El delito es cada vez mayor."
"<en> Dad bought a camera.","<es> Papá compró una cámara."
"<en> Dad bought me books.","<es> Papá me compró libros."
"<en> Day will break soon.","<es> Pronto amanecerá."
"<en> Delete that picture.","<es> Borra esa fotografía."
"<en> Delete that picture.","<es> Elimina esa foto."
"<en> Delete that picture.","<es> Borrá esa foto."
"<en> Did I have a choice?","<es> ¿Tenía otra opción?"
"<en> Did I lock the door?","<es> ¿Le puse llave a la puerta?"
"<en> Did I lock the door?","<es> ¿La habré puesto llave a la puerta?"
"<en> Did Tom ask you out?","<es> ¿Tom te invitó a salir?"
"<en> Did Tom ask you out?","<es> ¿Te invitó Tom a salir?"
"<en> Did Tom do anything?","<es> ¿Tom hizo algo?"
"<en> Did Tom lie to Mary?","<es> ¿Mintió Tom a Mary?"
"<en> Did Tom talk to you?","<es> ¿Te habló Tom?"
"<en> Did anybody see you?","<es> ¿Te ha visto alguien?"
"<en> Did they come today?","<es> ¿Vinieron ellos hoy?"
"<en> Did they come today?","<es> ¿Han venido hoy?"
"<en> Did they understand?","<es> ¿Entendieron?"
"<en> Did you have dreams?","<es> ¿Soñaste?"
"<en> Did you hear it too?","<es> ¿Tú también lo oíste?"
"<en> Did you leave a tip?","<es> ¿Dejaste propina?"
"<en> Did you leave a tip?","<es> ¿Dejasteis propina?"
"<en> Did you like Boston?","<es> ¿Te gustó Boston?"
"<en> Did you notice that?","<es> ¿Notaste eso?"
"<en> Did you read it all?","<es> ¿Lo leíste todo?"
"<en> Did you take a bath?","<es> ¿Te bañaste?"
"<en> Disconnect the plug.","<es> Desconecta el enchufe."
"<en> Divide this in half.","<es> Parta usted esto por la mitad."
"<en> Do I curse too much?","<es> ¿Acaso maldigo demasiado?"
"<en> Do I have to go now?","<es> ¿Tengo que ir ahora?"
"<en> Do I have to go now?","<es> ¿Debo ir ahora?"
"<en> Do not eat in class.","<es> No comer en clases."
"<en> Do we need a Plan B?","<es> ¿Necesitamos un plan B?"
"<en> Do you drink coffee?","<es> ¿Bebes café?"
"<en> Do you drink coffee?","<es> ¿Tomás café?"
"<en> Do you drink coffee?","<es> ¿Bebéis café?"
"<en> Do you enjoy losing?","<es> ¿Acaso te gusta perder?"
"<en> Do you enjoy losing?","<es> ¿Te gusta perder?"
"<en> Do you enjoy losing?","<es> ¿Les gusta perder?"
"<en> Do you enjoy losing?","<es> ¿Le gusta perder?"
"<en> Do you get the idea?","<es> ¿Lo comprende usted?"
"<en> Do you get the idea?","<es> ¿Entiendes la idea?"
"<en> Do you have a child?","<es> ¿Tú tienes un hijo?"
"<en> Do you have a cough?","<es> ¿Tienes tos?"
"<en> Do you have a fever?","<es> ¿Tienes fiebre?"
"<en> Do you have a hobby?","<es> ¿Tienes un hobby?"
"<en> Do you have a house?","<es> ¿Tienes casa?"
"<en> Do you have a house?","<es> ¿Tienes una casa?"
"<en> Do you have a house?","<es> ¿Tiene usted una casa?"
"<en> Do you have a knife?","<es> ¿Tienes un cuchillo?"
"<en> Do you have a match?","<es> ¿Tienes un fósforo?"
"<en> Do you have a motto?","<es> ¿Tienes un lema?"
"<en> Do you have a phone?","<es> ¿Tienes un teléfono?"
"<en> Do you have a phone?","<es> ¿Usted tiene un teléfono?"
"<en> Do you have a table?","<es> ¿Tienes una mesa?"
"<en> Do you have any CDs?","<es> ¿Tienes algún CD?"
"<en> Do you have any gum?","<es> ¿Tienes algo de goma de mascar?"
"<en> Do you have any gum?","<es> ¿Tienes chicle?"
"<en> Do you keep a diary?","<es> ¿Tienes un diario?"
"<en> Do you know the way?","<es> ¿Sabes el camino?"
"<en> Do you like English?","<es> ¿Te gusta el inglés?"
"<en> Do you like English?","<es> ¿Os gusta el inglés?"
"<en> Do you like English?","<es> ¿Les gusta el inglés?"
"<en> Do you like English?","<es> ¿Le gusta el inglés?"
"<en> Do you like bowling?","<es> ¿Te gusta jugar bolos?"
"<en> Do you like bowling?","<es> ¿Te gusta el boliche?"
"<en> Do you like cooking?","<es> ¿Te gusta cocinar?"
"<en> Do you like cooking?","<es> ¿Le gusta cocinar?"
"<en> Do you like dancing?","<es> ¿Os gusta bailar?"
"<en> Do you like dancing?","<es> ¿Les gusta bailar?"
"<en> Do you like oranges?","<es> ¿Le gustan las naranjas?"
"<en> Do you like oranges?","<es> ¿Te gustan las naranjas?"
"<en> Do you like oranges?","<es> ¿Os gustan las naranjas?"
"<en> Do you like oranges?","<es> ¿Les gustan las naranjas?"
"<en> Do you like oysters?","<es> ¿Te gustan las ostras?"
"<en> Do you like running?","<es> ¿Te gusta correr?"
"<en> Do you like surfing?","<es> ¿Te gusta surfear?"
"<en> Do you like to sing?","<es> ¿Les gusta cantar?"
"<en> Do you love him too?","<es> ¿Tú lo amas también?"
"<en> Do you love him too?","<es> ¿También tú lo amas?"
"<en> Do you need me, Tom?","<es> ¿Me necesitas, Tom?"
"<en> Do you need me, Tom?","<es> ¿Necesitas algo de mí, Tom?"
"<en> Do you remember Tom?","<es> ¿Te acuerdas de Tom?"
"<en> Do you see anything?","<es> ¿Ves algo?"
"<en> Do you speak French?","<es> ¿Usted habla francés?"
"<en> Do you speak French?","<es> ¿Sabes hablar francés?"
"<en> Do you speak French?","<es> ¿Habláis francés?"
"<en> Do you speak French?","<es> ¿Habla usted francés?"
"<en> Do you speak French?","<es> ¿Hablas francés?"
"<en> Do you speak French?","<es> ¿Hablás francés?"
"<en> Do you study French?","<es> ¿Estudiás francés?"
"<en> Do you study French?","<es> ¿Estudias el francés?"
"<en> Do you travel a lot?","<es> ¿Viajáis mucho?"
"<en> Do you want a drink?","<es> ¿Quieres beber algo?"
"<en> Do you want a salad?","<es> ¿Querés ensalada?"
"<en> Do you want my help?","<es> ¿Quieren mi ayuda?"
"<en> Do you want my help?","<es> ¿Quiere mi ayuda?"
"<en> Do you want my help?","<es> ¿Quieres mi ayuda?"
"<en> Do you want my help?","<es> ¿Querés mi ayuda?"
"<en> Do you want my help?","<es> ¿Queréis mi ayuda?"
"<en> Do you want to come?","<es> ¿Querés venir?"
"<en> Do you want to help?","<es> ¿Querés ayudar?"
"<en> Do you want to know?","<es> ¿Querés saber?"
"<en> Do you want to play?","<es> ¿Querés jugar?"
"<en> Do you want to read?","<es> ¿Querés leer?"
"<en> Do you want to rest?","<es> ¿Quieres descansar?"
"<en> Do you want to stay?","<es> ¿Te querés quedar?"
"<en> Do you want to talk?","<es> ¿Querés hablar?"
"<en> Do you want to vote?","<es> ¿Querés votar?"
"<en> Do you want to wait?","<es> ¿Querés esperar?"
"<en> Do you wear glasses?","<es> ¿Usás anteojos?"
"<en> Does Tom have a cat?","<es> ¿Tiene Tom un gato?"
"<en> Does Tom have a cat?","<es> ¿Tom tiene un gato?"
"<en> Does Tom want a car?","<es> ¿Tomás quiere un auto?"
"<en> Does she play piano?","<es> ¿Ella toca el piano?"
"<en> Does your wife work?","<es> ¿Tu esposa trabaja?"
"<en> Doesn't anyone care?","<es> ¿A nadie le importa?"
"<en> Don't act like that.","<es> No actúes así."
"<en> Don't ask for money.","<es> No pidas dinero."
"<en> Don't ask questions.","<es> No hagas preguntas."
"<en> Don't be ridiculous!","<es> ¡No seas ridículo!"
"<en> Don't be ridiculous!","<es> ¡No seas absurdo!"
"<en> Don't be ridiculous.","<es> No seas ridículo."
"<en> Don't be ridiculous.","<es> No seas ridícula."
"<en> Don't bother me now.","<es> No me jodas ahora."
"<en> Don't call me again.","<es> No me vuelvas a llamar."
"<en> Don't call me again.","<es> No me llamés de nuevo."
"<en> Don't call me again.","<es> No me llames de nuevo."
"<en> Don't climb on this!","<es> ¡No te subas a esto!"
"<en> Don't disappoint me.","<es> No me decepciones."
"<en> Don't disappoint me.","<es> No me defraudes."
"<en> Don't disappoint me.","<es> No me desilusiones."
"<en> Don't drop that cup.","<es> Que no se te caiga esa tasa."
"<en> Don't drop the soap.","<es> No dejes que se te caiga el jabón."
"<en> Don't ever doubt it.","<es> Ni lo dudes."
"<en> Don't ever touch me.","<es> Nunca me toques."
"<en> Don't fight with me.","<es> No pelees conmigo."
"<en> Don't get any ideas.","<es> No te hagas ilusiones."
"<en> Don't get any ideas.","<es> No te pases de listo."
"<en> Don't get too close.","<es> ¡No te acerques demasiado!"
"<en> Don't go in my room.","<es> No vayas a mi cuarto."
"<en> Don't hide in there.","<es> No te escondas allí dentro."
"<en> Don't leave me here.","<es> No me dejes aquí."
"<en> Don't listen to Tom.","<es> No lo escuchés a Tomás."
"<en> Don't listen to her.","<es> No la escuches."
"<en> Don't listen to him.","<es> No lo escuches."
"<en> Don't make me angry.","<es> No me hagas enojar."
"<en> Don't make me laugh!","<es> ¡No me hagas reír!"
"<en> Don't make me laugh.","<es> No me hagas reír."
"<en> Don't mess with Tom.","<es> No te metas con Tom."
"<en> Don't open the door.","<es> No abra la puerta."
"<en> Don't phone her now.","<es> No la llames ahora."
"<en> Don't phone her now.","<es> No telefonees a ella ahora."
"<en> Don't put on weight.","<es> No engordes."
"<en> Don't put on weight.","<es> No subas de peso."
"<en> Don't read my diary.","<es> No leas mi diario."
"<en> Don't say that word.","<es> No digas esa palabra."
"<en> Don't slam the door.","<es> No azote la puerta."
"<en> Don't speak so fast.","<es> No hables tan rápido."
"<en> Don't take the bait.","<es> No tomes el anzuelo."
"<en> Don't talk nonsense!","<es> ¡No digas boludeces!"
"<en> Don't tell your dad.","<es> No se lo digas a tu padre."
"<en> Don't tell your dad.","<es> No se lo digáis a vuestro papá."
"<en> Don't touch my bike.","<es> No toques mi bicicleta."
"<en> Don't wait too long.","<es> No esperes demasiado."
"<en> Don't waste my time.","<es> No malgastes mi tiempo."
"<en> Don't waste my time.","<es> No desperdicies mi tiempo."
"<en> Don't work too hard!","<es> ¡No trabajes demasiado!"
"<en> Don't work too much!","<es> No trabajes demasiado."
"<en> Don't worry so much.","<es> No te preocupes tanto."
"<en> Don't you feel cold?","<es> ¿No sentís frío?"
"<en> Don't you feel cold?","<es> ¿No sientes frío?"
"<en> Don't you know that?","<es> ¿Acaso no sabes eso?"
"<en> Don't you like fish?","<es> ¿No te gusta el pescado?"
"<en> Don't you love cats?","<es> ¿No te encantan los gatos?"
"<en> Draw a small circle.","<es> Traza un pequeño círculo."
"<en> Draw a small circle.","<es> Dibuja un círculo pequeño."
"<en> Dry wood burns well.","<es> La madera seca arde bien."
"<en> Dry wood burns well.","<es> La madera seca se quema bien."
"<en> Eat more vegetables.","<es> Come más verduras."
"<en> Eat your vegetables.","<es> ¡Cómanse sus verduras!"
"<en> Embrace your dreams.","<es> Abraza tus sueños."
"<en> Enjoy your holidays.","<es> Disfrute sus vacaciones."
"<en> Enjoy your vacation.","<es> Disfruta de tus vacaciones."
"<en> Everybody applauded.","<es> Todos aplaudieron."
"<en> Everybody applauded.","<es> Todos estaban aplaudiendo."
"<en> Everybody does that.","<es> Todo el mundo lo hace."
"<en> Everybody hates Tom.","<es> Todo el mundo odia a Tom."
"<en> Everybody knows her.","<es> Todos la conocen."
"<en> Everybody liked Tom.","<es> Todos querían a Tom."
"<en> Everybody likes Tom.","<es> Todos quieren a Tom."
"<en> Everybody likes her.","<es> Ella gusta a todo el mundo."
"<en> Everybody likes her.","<es> A todos les gusta ella."
"<en> Everybody likes him.","<es> Todos lo quieren."
